stock_id,name,old_cash_dividend,new_cash_dividend,year,record_date,ex_dividend_date,payment_date,announcement_date,announcement_time,component_count,source,status
1720,生達,2.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6761,穩得,6.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
8926,台汽電,2.41 ,2.1197,115,,115年07月02日,,,,1,TWSE TWT48U,updated
2645,長榮航太,5.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
3023,信邦,9.10 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
3716,中化,1.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2890,永豐金,1.10 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
5434,崇越,13.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4114,健喬,0.85 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2885,元大金,1.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4755,三福化,3.70 ,3.7,115,,115年07月01日,,,,1,TWSE TWT48U,updated
6411,晶焱,2.22 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
8403,盛弘,0.40 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2812,台中銀,0.39 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
1231,聯華食,1.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4119,旭富,0.75 ,0.75,115,,115年07月01日,,,,1,TWSE TWT48U,updated
5234,達興材,6.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
3357,臺慶科,5.20 ,5.0848,115,,1150629,,,,1,TPEX tpex_exright_prepost,updated
3090,日電貿,4.80 ,4.8,115,,115年07月02日,,,,1,TWSE TWT48U,updated
5483,中美晶,2.50 ,2.5,115,,1150723,,,,1,TPEX tpex_exright_prepost,updated
2330,台積電,23.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
